0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.23417e-09 0 7.50184e-09 0 0 1.14982e-08 3.96984e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.92898e-09 3.24784e-11 1.1986e-08 4.26587e-09 1.38109e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.41651e-08 0 0 3.76817e-07 0 0 0 4.35426e-08 0 0 0 3.18865e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.88941e-07 1.71807e-08 6.82538e-08 3.50845e-08 0 2.78296e-07 9.76955e-09 1.05189e-07 0 0 1.01519e-07 1.85186e-08 4.46513e-07 0 0 5.86103e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.17033e-11 0 5.36364e-11 0 6.14052e-08 1.11788e-07 0 3.63199e-11 0 4.45258e-06 3.69752e-06 1.07718e-06 4.198e-08 3.17188e-06 0 2.41373e-06 1.00232e-06 4.54798e-07 5.60502e-08 1.49237e-08 3.44403e-09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.00113e-06 6.90486e-11 5.25693e-07 3.12351e-08 1.37658e-08 1.71888e-05 3.27587e-05 3.66942e-05 9.54534e-08 0 6.1507e-06 6.37888e-06 2.62697e-05 9.51217e-08 4.69892e-06 2.26876e-05 1.44812e-06 6.18169e-08 0 4.93045e-11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.8538e-10 0 0 2.01116e-05 9.76749e-05 4.79379e-05 0.000121617 1.39415e-06 8.33189e-05 3.66188e-06 4.43257e-05 0 3.88883e-05 4.56e-07 0 3.53285e-08 1.65689e-05 1.04558e-06 2.86708e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 4.99467e-08 0 3.99342e-09 0 8.82405e-05 4.2728e-07 0.000113119 1.21487e-05 4.05985e-05 0.000447926 0.000606923 0.00107053 0.00238796 0.0013621 0.00068026 0.00122132 4.98157e-05 3.8632e-06 0.000139731 1.59751e-06 6.32673e-06 8.75357e-08 5.01765e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 4.99112e-08 6.76911e-08 4.32528e-08 1.56904e-08 3.17909e-05 1.77013e-05 0 2.81547e-05 1.35842e-06 5.19029e-06 0.00069522 0 0.00204052 1.56637e-05 3.26276e-05 0.00152972 0.00080866 0.00114989 0 0.000237227 0.000407386 0 1.60007e-05 0 1.35014e-06 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 4.9404e-11 1.06295e-07 4.45577e-11 1.24377e-05 2.74333e-05 5.254e-05 6.04111e-05 0.000418457 0.000961432 4.69392e-06 0.00534515 0.00198523 3.58397e-05 0.00798746 0.0172728 0.0111899 0.0199193 0.000171647 0.00225419 0.000765729 0.00057535 0.000204688 7.18867e-06 8.5123e-06 2.30895e-07 0 0 4.2482e-11 0 0 0 0 0 0 0 0 0 0 0
